Repository Name,Repository URL,Default Branch,Star Count,Description,Update_date
os,https://github.com/minoca/os,master,2681,Minoca operating system,2023-11-22T08:31:52Z
libffi,https://github.com/libffi/libffi,master,2928,A portable foreign-function interface library.,2023-11-19T21:48:17Z
proxmark3,https://github.com/Proxmark/proxmark3,master,2907,Proxmark 3,2023-11-22T07:37:59Z
neuralcoref,https://github.com/huggingface/neuralcoref,master,2763,✨Fast Coreference Resolution in spaCy with Neural Networks,2023-11-21T18:20:21Z
SmartAppUpdates,https://github.com/cundong/SmartAppUpdates,master,2636,Android应用增量更新,2023-11-08T07:59:04Z
fzy,https://github.com/jhawthorn/fzy,master,2841,":mag: A simple, fast fuzzy finder for the terminal",2023-11-21T02:32:14Z
awtk,https://github.com/zlgopen/awtk,master,2870,AWTK = Toolkit AnyWhere(a cross-platform embedded GUI),2023-11-22T03:34:37Z
entr,https://github.com/eradman/entr,master,3544,Run arbitrary commands when files change,2023-11-22T08:37:44Z
ProcDump-for-Linux,https://github.com/Sysinternals/ProcDump-for-Linux,master,2789,A Linux version of the ProcDump Sysinternals tool,2023-11-20T21:51:29Z
webdis,https://github.com/nicolasff/webdis,master,2742,A Redis HTTP interface with JSON output,2023-11-21T02:49:23Z
neomutt,https://github.com/neomutt/neomutt,main,2953,✉️ Teaching an Old Dog New Tricks -- IRC: #neomutt on irc.libera.chat,2023-11-21T08:25:38Z
janet,https://github.com/janet-lang/janet,master,3157,A dynamic language and bytecode vm,2023-11-21T21:16:34Z
helloworld,https://github.com/fw876/helloworld,master,3186,,2023-11-21T18:37:51Z
gear-lib,https://github.com/gozfree/gear-lib,master,2764,"Gear-Lib, C library for IOT Embedded Multimedia and Network",2023-11-18T07:41:21Z
Broadway,https://github.com/mbebenita/Broadway,master,2682,A JavaScript H.264 decoder.,2023-11-22T09:20:58Z
UVCCamera,https://github.com/saki4510t/UVCCamera,master,2839,library and sample to access to UVC web camera on non-rooted Android device,2023-11-22T07:24:08Z
irssi,https://github.com/irssi/irssi,master,2731,The client of the future,2023-11-20T20:50:29Z
EasyLogger,https://github.com/armink/EasyLogger,master,3248,"An ultra-lightweight(ROM<1.6K, RAM<0.3k), high-performance C/C++ log library. | 一款超轻量级(ROM<1.6K, RAM<0.3k)、高性能的 C/C++ 日志库",2023-11-21T13:01:28Z
weechat,https://github.com/weechat/weechat,master,2730,The extensible chat client.,2023-11-20T13:32:42Z
viabtc_exchange_server,https://github.com/viabtc/viabtc_exchange_server,master,2632,A trading engine with high-speed performance and real-time notification,2023-11-20T09:38:43Z
AI-on-the-edge-device,https://github.com/jomjol/AI-on-the-edge-device,rolling,4208,"Easy to use device for connecting ""old"" measuring units (water, power, gas, ...) to the digital world",2023-11-21T23:39:29Z
Tiny,https://github.com/Sunzxyong/Tiny,master,2580,an image compression framework.（一个高保真、高压缩比的图片压缩框架）,2023-11-20T14:16:50Z
EasyHook,https://github.com/EasyHook/EasyHook,master,2799,EasyHook - The reinvention of Windows API Hooking,2023-11-18T22:57:34Z
json-c,https://github.com/json-c/json-c,master,2785,https://github.com/json-c/json-c is the official code repository for json-c.  See the wiki for release tarballs for download.  API docs at http://json-c.github.io/json-c/,2023-11-20T16:01:40Z
src,https://github.com/openbsd/src,master,2918,Read-only git conversion of OpenBSD's official CVS src repository. Pull requests not accepted - send diffs to the tech@ mailing list.,2023-11-21T01:41:44Z
QuickJS,https://github.com/quickjs-zh/QuickJS,master,2887,QuickJS是一个小型并且可嵌入的Javascript引擎，它支持ES2020规范，包括模块，异步生成器和代理器。,2023-11-20T07:32:28Z
premake-core,https://github.com/premake/premake-core,master,2911,Premake,2023-11-22T06:44:53Z
amazon-freertos,https://github.com/aws/amazon-freertos,main,2543,DEPRECATED - See README.md,2023-11-15T18:00:17Z
starrtc-server,https://github.com/starrtc/starrtc-server,master,2758,免费IM系统，IM即时通信消息系统(含一对一文字聊天，群聊，聊天室)，免费一对一voip实时通话，录屏，webrtc服务端，免费直播连麦，互动直播，视频直播，RTSP拉流，RTMP推流，语音对讲，免费在线会议，视频会议等服务端程序，支持物联网平台，✨万水千山总是情，来个star行不行✨,2023-11-21T06:31:55Z
zydis,https://github.com/zyantific/zydis,master,2985,Fast and lightweight x86/x86-64 disassembler and code generation library,2023-11-22T02:04:27Z
WizQTClient,https://github.com/WizTeam/WizQTClient,master,2593,为知笔记跨平台客户端,2023-11-09T08:33:46Z
iotjs,https://github.com/jerryscript-project/iotjs,master,2559,Platform for Internet of Things with JavaScript http://www.iotjs.net ,2023-11-18T18:36:44Z
tidy-html5,https://github.com/htacg/tidy-html5,next,2629,"The granddaddy of HTML tools, with support for modern standards",2023-11-20T23:00:35Z
esp-link,https://github.com/jeelabs/esp-link,master,2718,"esp8266 wifi-serial bridge, outbound TCP, and arduino/AVR/LPC/NXP programmer",2023-11-22T09:06:22Z
shadowsocksr-native,https://github.com/ShadowsocksR-Live/shadowsocksr-native,master,2691,"翻墙 从容穿越党国敏感日 ShadowsocksR (SSRoT) native implementation for all platforms, GFW terminator",2023-11-20T15:44:09Z
mjpg-streamer,https://github.com/jacksonliam/mjpg-streamer,master,2796,Fork of http://sourceforge.net/projects/mjpg-streamer/,2023-11-22T10:28:01Z
pwnat,https://github.com/samyk/pwnat,master,2909,"The only tool/technique to punch holes through firewalls/NATs where multiple clients & server can be behind separate NATs without any 3rd party involvement. Pwnat is a newly developed technique, exploiting a property of NAT translation tables, with no 3rd party, port forwarding, DMZ, DNS, router admin requirements, STUN/TURN/UPnP/ICE, or spoofing.",2023-11-21T20:51:36Z
Espruino,https://github.com/espruino/Espruino,master,2649,The Espruino JavaScript interpreter - Official Repo,2023-11-22T07:26:55Z
libopencm3,https://github.com/libopencm3/libopencm3,master,2800,Open source ARM Cortex-M microcontroller library,2023-11-19T17:48:34Z
rpi4-osdev,https://github.com/isometimes/rpi4-osdev,master,3183,"Tutorial: Writing a ""bare metal"" operating system for Raspberry Pi 4",2023-11-21T19:31:46Z
shellinabox,https://github.com/shellinabox/shellinabox,master,2701,Official-ish Fork of Shell In A Box,2023-11-19T12:05:11Z
miniaudio,https://github.com/mackron/miniaudio,master,3279,"Audio playback and capture library written in C, in a single source file.",2023-11-22T10:14:43Z
Collections-C,https://github.com/srdja/Collections-C,master,2631,A library of generic data structures.,2023-11-21T03:25:04Z
